word      count
fountains 2    
knew      2    
shutting  2    
ME        2    
beautifully2    
forgotten 2    
poison    2    
ventured  2    
taste     2    
finding   2    
nice      2    
hot       2    
lovely    2    
awhile    2    
happened  2    
possibly  2    
legs      2    
though    2    
eye       2    
cake      2    
Which     2    
holding   2    
remained  2    
forgot    2    
opening   2    
dears     2    
struck    2    
Poor      2    
reaching  2    
trotting  2    
muttering 2    
timid     2    
usual     2    
Ah        2    
_can_     2    
rapidly   2    
save      2    
child     2    
slipped   2    
salt      2    
Her       2    
sea       2    
swimming  2    
French    2    
Conqueror 2    
fright    2    
beg       2    
animal    2    
Not       2    
shrill    2    
show      2    
always    2    
Don       2    
conversation2    
Are       2    
fond      2    
oh        2    
pale      2    
shore     2    
history   2    
hate      2    
Lory      2    
Eaglet    2    
assembled 2    
fur       2    
wet       2    
cross     2    
listen    2    
_I        2    
ring      2    
ready     2    
Silence   2    
Ugh       2    
archbishop2    
advisable 2    
Found     2    
frog      2    
hurriedly 2    
continued 2    
Caucus    2    
explain   2    
liked     2    
hour      2    
_all_     2    
Prizes    2    
comfits   2    
handed    2    
exactly   2    
caused    2    
sad       2    
tale      2    
call      2    
Fury      2    
wasting   2    
breath    2    
bend      2    
nonsense  2    
walking   2    
Yes       2    
impatiently2    
sensation 2    
Some      2    
children  2    
On        2    
various   2    
moved     2    
Nobody    2    
seems     2    
however   2    
footsteps 2    
executed  2    
ferrets   2    
guessed   2    
vanished  2    
Very      2    
home      2    
knocking  2    
saying    2    
remarking 2    
floor     2    
whatever  2    
effect    2    
stopped   2    
times     2    
reason    2    
pressed   2    
snatch    2    
hold      2    
shriek    2    
crash     2    
Next      2    
Sure      2    
yer       2    
honor     2    
sounds    2    
_could_   2    
hearing   2    
sound     2    
drew      2    
general   2    
goes      2    
Hold      2    
comes     2    
barrowful 2    
shower    2    
pebbles   2    
hit       2    
lay       2    
delighted 2    
directly  2    
affectionately2    
suppose   2    
grass     2    
stretched 2    
edge      2    
folded    2    
quietly   2    
